TurnstileStationName,StationLocationName
THIRTY ST,30 Av-Grand Av
THIRTY THIRD ST,33rd St
TIMES SQ-42 ST,Times Square-42nd St
TOMPKINSVILLE,South Ferry
TREMONT AV,Tremont Av
TWENTY THIRD ST,23rd St-Ely Av
UNION ST,Union St
UTICA AV,Utica Av
V.CORTLANDT PK,Van Cortlandt Park-242nd St
VAN SICLEN AV,Van Siclen Av
VAN SICLEN AVE,Van Siclen Av
VERNON-JACKSON,Vernon Blvd-Jackson Av
W 4 ST-WASH SQ,West 4th St
W 8 ST-AQUARIUM,West 8th St
WAKEFIELD/241,Wakefield-241st St
WALL ST,Wall St
WEST FARMS SQ,East Tremont Av-West Farms Sq
WESTCHESTER SQ,Westchester Square-East Tremont Av
WHITEHALL S-FRY,Whitehall St
WHITLOCK AV,Whitlock Av
WILSON AV,Wilson Av
WINTHROP ST,Winthrop St
WOODHAVEN BLVD,Woodhaven Blvd
WOODLAWN,Woodlawn
WORLD TRADE CTR,World Trade Center
WTC-CORTLANDT,World Trade Center
YORK ST,York St
ZEREGA AV,Zerega Av
104TH ST-OXFORD AV,104th St-Oxford Av
111TH ST-GREENWOOD AV,111th St-Greenwood Av
168TH ST - WASHINGTON HEIGHTS,168th St - Washington Heights
62ND ST,62nd St
95TH ST,95th St
BAY PARKWAY-22ND AV,Bay Parkway-22nd Av
BEDFORD PARK BLVD-LEHMAN COLLEGE,Bedford Park Blvd-Lehman College
BROADWAY-NASSAU,Broadway-Nassau
CANAL ST (UL),Canal St (UL)
CLINTON & WASHINGTON AVS,Clinton & Washington Avs
ESSEX ST,Essex St
DYCKMAN ST-200TH ST,Dyckman St-200th St
GRAND CENTRAL,Grand Central
LAWRENCE ST,Lawrence St
PACIFIC ST,Pacific St
TIMES SQUARE,Times Square
UNION SQUARE,Union Square
